Name;CategoryDSK;Agriculture;iLUC;FoodProcessing;Packaging;Transport;Retail;CO2;CategoryGPC
Water, tap, drinking, average values;Beverages;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Beverages
Melon, honeydew, raw;Fruits;0,10;0,02;0,00;0,00;0,58;0,01;0,71;Fruits - unprepared/unprocessed (fresh)
Lentils, sprouted, raw;Vegetables;0,85;0,32;0,00;0,14;0,39;0,01;1,70;Vegetables
Pepper, sweet, red, raw;Vegetables;0,25;0,03;0,00;0,14;0,58;0,01;1,02;Vegetables
Tomato, ripe, raw, origin unknown;Vegetables;0,07;0,01;0,00;0,14;0,48;0,01;0,70;Vegetables
Squash, raw;Vegetables;0,14;0,04;0,00;0,06;0,58;0,01;0,83;Vegetables
Aubergine, raw;Vegetables;0,16;0,02;0,00;0,14;0,65;0,01;0,97;Vegetables
Tomato, dried;Vegetables;0,91;0,09;0,00;0,26;0,68;0,01;1,95;Vegetables
Pumpkin, raw;Vegetables;0,14;0,04;0,00;0,06;0,58;0,01;0,83;Vegetables
Cucumber, raw;Vegetables;0,05;0,01;0,00;0,14;0,35;0,01;0,56;Vegetables
Gherkin cucumber, raw;Vegetables;0,05;0,01;0,00;0,14;0,35;0,01;0,56;Vegetables
Pepper, hot chili, raw;Vegetables;0,25;0,03;0,00;0,14;0,58;0,01;1,02;Vegetables
Beef, topside, cap off, raw;Meat/poultry;39,65;7,68;-2,41;0,14;0,63;0,00;45,69;Meat/poultry/other animals
Beef, fillet, defatted, raw;Meat/poultry;133,45;25,85;-8,11;0,14;0,63;0,00;151,95;Meat/poultry/other animals
Beef, mince, 10-15% fat, raw;Meat/poultry;28,58;5,46;-1,78;0,14;0,12;0,00;32,51;Meat/poultry/other animals
Beef, rump, raw;Meat/poultry;39,65;7,68;-2,41;0,14;0,63;0,00;45,69;Meat/poultry/other animals
Beef, mince, 15-20% fat, raw;Meat/poultry;26,90;5,16;-1,47;0,14;0,12;0,00;30,84;Meat/poultry/other animals
Beef, T-bone steak, raw;Meat/poultry;70,72;13,70;-4,30;0,14;0,63;0,00;80,89;Meat/poultry/other animals
Beef, mince, 5-10% fat, raw;Meat/poultry;30,26;5,75;-2,09;0,14;0,12;0,00;34,19;Meat/poultry/other animals
Beer, lager, alc. 4.4 % by vol.;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Beer, Danish household, low alcohol;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Beer, strong, alc. 7.6 % by vol.;Beverages;0,07;0,05;0,24;0,16;0,07;0,01;0,60;Beverages
Biscuit, sweet;Bread/bakery products;0,59;0,12;1,22;0,67;0,14;0,01;2,75;Bread/bakery products
Biscuit, wholemeal, digestive type;Bread/bakery products;0,54;0,14;1,23;0,67;0,14;0,01;2,73;Bread/bakery products
Butter cookie, wheat, Danish, industrially produced;Bread/bakery products;0,63;0,14;1,42;0,67;0,11;0,01;2,98;Bread/bakery products
American inspired cookie;Bread/bakery products;0,54;0,14;1,23;0,67;0,14;0,01;2,73;Bread/bakery products
Granola bar;Bread/bakery products;1,20;0,43;0,45;0,67;0,13;0,01;2,88;Bread/bakery products
